Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 19:30:21 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_37/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_38/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_39/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_46/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_48/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_50/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_52/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_54/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_56/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_58/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_60/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_62/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_96/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_34_20250129153454_98/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_101/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_103/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_114/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_123/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_142/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_149/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_171/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_180/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_190/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_40/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_41/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_42/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_43/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_44/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_45/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_47/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_49/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_51/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_53/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_55/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_57/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_59/ (189.4 MB, 484d old)
